Queries,Number of Overlapping Results,Percent Overlap,Spearman Coefficient
Query 1,3,30,0.75
Query 2,2,20,-7.0
Query 3,1,10,0
Query 4,4,40,-7.699999999999999
Query 5,2,20,-9.0
Query 6,1,10,0
Query 7,3,30,-1.25
Query 8,2,20,-25.0
Query 9,3,30,-1.5
Query 10,0,0,0
Query 11,4,40,-3.8
Query 12,2,20,-16.0
Query 13,1,10,0
Query 14,1,10,1
Query 15,3,30,-12.25
Query 16,2,20,-36.0
Query 17,4,40,-0.8999999999999999
Query 18,2,20,-49.0
Query 19,1,10,0
Query 20,0,0,0
Query 21,1,10,0
Query 22,0,0,0
Query 23,4,40,-6.6
Query 24,2,20,-4.0
Query 25,2,20,-35.0
Query 26,1,10,0
Query 27,1,10,0
Query 28,5,50,-4.5
Query 29,1,10,0
Query 30,1,10,0
Query 31,4,40,-0.8999999999999999
Query 32,2,20,-24.0
Query 33,4,40,-6.6
Query 34,3,30,-0.25
Query 35,1,10,0
Query 36,1,10,0
Query 37,1,10,0
Query 38,0,0,0
Query 39,1,10,1
Query 40,4,40,-1.1
Query 41,4,40,-2.4
Query 42,3,30,-10.5
Query 43,1,10,0
Query 44,3,30,-12.25
Query 45,2,20,-9.0
Query 46,0,0,0
Query 47,1,10,0
Query 48,5,50,-1.7000000000000002
Query 49,6,60,-0.7428571428571429
Query 50,3,30,-2.5
Query 51,2,20,1.0
Query 52,3,30,-9.0
Query 53,3,30,-3.25
Query 54,2,20,-4.0
Query 55,2,20,0.0
Query 56,6,60,0.6571428571428571
Query 57,2,20,-9.0
Query 58,1,10,0
Query 59,3,30,-5.0
Query 60,1,10,0
Query 61,1,10,0
Query 62,2,20,-79.0
Query 63,3,30,-8.5
Query 64,3,30,-16.0
Query 65,1,10,0
Query 66,3,30,-1.5
Query 67,3,30,-3.25
Query 68,4,40,-5.5
Query 69,1,10,0
Query 70,2,20,-36.0
Query 71,4,40,-2.9
Query 72,0,0,0
Query 73,0,0,0
Query 74,3,30,-11.5
Query 75,0,0,0
Query 76,4,40,-1.9
Query 77,3,30,-12.0
Query 78,1,10,0
Query 79,2,20,-49.0
Query 80,4,40,-5.8
Query 81,1,10,0
Query 82,0,0,0
Query 83,1,10,0
Query 84,1,10,0
Query 85,0,0,0
Query 86,1,10,1
Query 87,1,10,0
Query 88,2,20,-79.0
Query 89,1,10,0
Query 90,4,40,-1.5
Query 91,3,30,-3.75
Query 92,5,50,-4.1
Query 93,1,10,0
Query 94,5,50,-1.9500000000000002
Query 95,4,40,-3.4000000000000004
Query 96,4,40,-0.3999999999999999
Query 97,1,10,0
Query 98,2,20,-4.0
Query 99,4,40,-2.3
Query 100,2,20,-52.0
Averages,2.2,22.0,-7.015357142857141
